"duration","end_of_fade_in","key_confidence","loudness","mode","mode_confidence","start_of_fade_out","tempo","time_signature_confidence","artist_familiarity","artist_hotttnesss","year","newdata$key1","newdata$key2","newdata$key3","newdata$key4","newdata$key5","newdata$key6","newdata$key7","newdata$key8","newdata$key9","newdata$key10","newdata$key11","newdata$time_signature3","newdata$time_signature4","newdata$time_signature5","newdata$time_signature7"
148.03546,0.148,0.169,-9.843,0,0.43,137.915,121.274,0.384,0.630630037589808,0.417499644970978,1969,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
233.40363,0,0.751,-9.013,1,0.749,217.124,119.293,0,0.630382334146781,0.45423115657062,1982,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
209.60608,0.066,0.092,-4.501,1,0.371,198.699,129.738,0.562,0.651045660831795,0.401723685503679,2007,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
269.81832,5.3,0.717,-13.496,1,0.652,258.99,86.643,0.487,0.426667857069405,0.332275746599068,1984,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
307.3824,0.612,0.524,-8.346,1,0.533,296.658,125.197,0.211,0.776675855684554,0.553071991461975,1986,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
491.12771,0,1,-8.576,1,0.829,486.034,119.826,0.756,0.63642364495007,0.447935480479502,1987,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
290.29832,0.145,0.725,-5.271,1,0.756,285.605,150.062,0.931,0.707199763837936,0.513463289702156,2004,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
207.77751,0.061,0.381,-4.264,1,0.453,204.696,166.862,0,0.839962768151037,0.541888972033647,2004,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
124.86485,0,0.697,-12.332,1,0.541,115.74,137.522,0,0.435415818155069,0.306242264246286,1985,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
186.48771,1.083,0.762,-4.516,1,0.539,175.467,90.022,0.971,0.45979712883761,0.349912611674563,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
168.25424,0.2,0.812,-9.616,1,0.736,161.89,127.025,0.792,0.588827100501806,0.379671124749867,1997,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
156.39465,0.562,0.569,-18.051,1,0.495,150.634,95.957,0.689,0.396455253917296,0.299230367929369,1961,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
342.56934,0.063,0.381,-11.939,1,0.538,333.154,110.189,0.353,0.706827671304458,0.416173064626677,1972,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
164.80608,0,0.254,-10.922,1,0.042,156.177,130.1,0,0.640807101963673,0.418216518194937,1964,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133.32853,0,0.384,-9.983,1,0.402,130.009,160.839,0,0.523714636970233,0.384611083961637,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
313.12934,0,0.724,-9.512,1,0.364,307.688,189.646,0.674,0.501544777103937,0.392733675546688,1997,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
198.73914,0,0.673,-7.469,1,0.579,193.016,115.061,0.731,0.527865076158682,0.393121933571007,2007,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
95.68608,0,0.421,-2.022,1,0.589,87.806,115.887,0.744,0.668674532861316,0.46753844401001,2003,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
190.48444,0.258,0.544,-15.663,1,0.596,177.029,102.428,0.496,0.661080167603938,0.44276584202895,1995,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
277.78567,0.24,0,-6.944,1,0,267.453,89.984,0,0.701180873607551,0.466628888901685,2004,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
248.78975,0.183,0.754,-7.805,1,0.597,246.19,116.721,0.522,0.733798940436227,0.544257505724526,1992,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
195.3171,0,0.98,-10.7,1,0.753,187.617,123.142,0.678,0.590692917947162,0.452817837697114,2002,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
175.72526,0.734,0.522,-10.93,1,0.474,168.699,141.919,0.445,0.665322161906018,0.394217198901004,2006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
